wavelength (nm),absorption cross-section (m^2)
651.0,-1.41e-26
652.0,-5.06e-26
653.0,-2.98e-26
654.0,-9e-27
655.0,-7.3e-27
656.0,-2.47e-26
657.0,-2.3e-26
658.0,-2.13e-26
659.0,-4.87e-28
660.0,1.22e-27
661.0,-1.62e-26
662.0,4.62e-27
663.0,6.33e-27
664.0,-1.11e-26
665.0,-2.85e-26
666.0,-2.68e-26
667.0,-5.98e-27
668.0,-4.28e-27
669.0,-2.17e-26
670.0,-3.91e-26
671.0,-5.65e-26
672.0,-1.66e-26
673.0,2.34e-26
674.0,-1.32e-26
675.0,-3.06e-26
676.0,-2.89e-26
677.0,-2.72e-26
678.0,-2.55e-26
679.0,-4.66e-27
680.0,1.62e-26
681.0,1.79e-26
682.0,4.52e-28
683.0,-1.7e-26
684.0,-1.53e-26
685.0,5.56e-27
686.0,7.26e-27
687.0,-1.01e-26
688.0,-4.67e-26
689.0,-4.5e-26
690.0,1.41e-26
691.0,3.49e-26
692.0,1.75e-26
693.0,6.95e-29
694.0,-3.65e-26
695.0,-3.48e-26
696.0,-1.39e-26
697.0,6.88e-27
698.0,8.59e-27
699.0,-8.83e-27
700.0,1.2e-26
