wavelength / nm,absorption x-section / m^2 for concn=0.02 mM,absorption x-section / m^2 for concn=0.2 mM,absorption x-section / m^2 for concn=2.0 mM,absorption x-section / m^2 for concn=20.0 mM
386.0,3.6139330844468853e-22,3.4396495364482619e-22,1.5629348156420453e-22,1.5211018978087106e-23
387.0,3.6198421796123746e-22,3.4402056865814848e-22,1.5630529975453552e-22,1.52127221878701e-23
388.0,3.6257512747778643e-22,3.4407618367147068e-22,1.5612594133657124e-22,1.5214425397653096e-23
389.0,3.8228369782386111e-22,3.4222003260184039e-22,1.5575540631031171e-22,1.521612860743609e-23
390.0,3.8287460734041004e-22,3.3845211544925749e-22,1.5538487128405216e-22,1.5179596495560031e-23
391.0,3.8346551685695911e-22,3.3468419829667459e-22,1.5520551286608788e-22,1.5162182044513498e-23
392.0,3.6493876554398232e-22,3.3282804722704431e-22,1.5521733105641885e-22,1.5163885254296492e-23
393.0,3.6552967506053134e-22,3.2714836399150889e-22,1.5503797263845459e-22,1.5184706124909015e-23
394.0,3.4700292374755461e-22,3.2338044683892594e-22,1.5466743761219504e-22,1.5167291673862482e-23
395.0,3.4759383326410358e-22,3.1578899752043795e-22,1.5372337276104977e-22,1.5149877222815952e-23
396.0,3.4818474278065255e-22,3.0628578211899733e-22,1.529704845181997e-22,1.5132462771769416e-23
397.0,3.2965799146767582e-22,3.0060609888346191e-22,1.5259994949194018e-22,1.5153283642381937e-23
398.0,3.1113124015469918e-22,2.9492641564792639e-22,1.5222941446568063e-22,1.5154986852164933e-23
399.0,3.117221496712481e-22,2.8924673241239102e-22,1.5166770283112585e-22,1.51375724011184e-23
400.0,3.1231305918779708e-22,2.8165528309390297e-22,1.5091481458827583e-22,1.5139275610901394e-23
401.0,3.129039687043461e-22,2.7406383377541493e-22,1.4958839652053999e-22,1.5140978820684391e-23
402.0,2.9437721739136931e-22,2.6838415053987951e-22,1.4883550827768995e-22,1.5123564369637855e-23
403.0,2.7585046607839262e-22,2.6079270122139151e-22,1.4808262003483988e-22,1.5106149918591325e-23
404.0,2.764413755949416e-22,2.5702478406880861e-22,1.4732973179198983e-22,1.5107853128374319e-23
405.0,2.7703228511149062e-22,2.5325686691622572e-22,1.4657684354913981e-22,1.5128673998986839e-23
406.0,2.7762319462803954e-22,2.4757718368069034e-22,1.4582395530628974e-22,1.5149494869599359e-23
407.0,2.7821410414458856e-22,2.4189750044515487e-22,1.446887138468492e-22,1.5112962757723303e-23
408.0,2.7880501366113754e-22,2.362178172096194e-22,1.4374464899570388e-22,1.509554830667677e-23
409.0,2.602782623481608e-22,2.3244990005703654e-22,1.4260940753626331e-22,1.5078133855630237e-23
410.0,2.6086917186470982e-22,2.2677021682150107e-22,1.4185651929341324e-22,1.5098954726242758e-23
411.0,2.614600813812587e-22,2.2300229966891817e-22,1.4091245444226795e-22,1.5119775596855278e-23
412.0,2.6205099089780772e-22,2.1923438251633527e-22,1.3920368315794164e-22,1.5102361145808748e-23
413.0,2.4352423958483098e-22,2.1164293319784726e-22,1.3749491187361529e-22,1.5084946694762215e-23
414.0,2.4411514910138e-22,2.0405148387935924e-22,1.3578614058928896e-22,1.5067532243715682e-23
415.0,2.4470605861792898e-22,1.9837180064382379e-22,1.3407736930496262e-22,1.5069235453498676e-23
416.0,2.2617930730495224e-22,1.9269211740828834e-22,1.3236859802063629e-22,1.5070938663281673e-23
417.0,2.2677021682150121e-22,1.8701243417275294e-22,1.3046865012801471e-22,1.5091759533894193e-23
418.0,2.2736112633805019e-22,1.8324451702017004e-22,1.2856870223539313e-22,1.5093462743677187e-23
419.0,2.2795203585459921e-22,1.7565306770168203e-22,1.2609522451788577e-22,1.5076048292630657e-23
420.0,2.0942528454162245e-22,1.6997338446614658e-22,1.2400410001696892e-22,1.5077751502413648e-23
421.0,2.1001619405817145e-22,1.6429370123061111e-22,1.2210415212434731e-22,1.5060337051367115e-23
422.0,1.9148944274519473e-22,1.6052578407802823e-22,1.2039538084002098e-22,1.5062040261150111e-23
423.0,1.7296269143221802e-22,1.5866963300839793e-22,1.1906896277228517e-22,1.5063743470933105e-23
424.0,1.7355360094876697e-22,1.5490171585581503e-22,1.1755136809625408e-22,1.5065446680716099e-23
425.0,1.9326217129484168e-22,1.5304556478618472e-22,1.1641612663681354e-22,1.5067149890499095e-23
426.0,2.1297074164091631e-22,1.5118941371655441e-22,1.1566323839396347e-22,1.504973543945256e-23
427.0,2.1356165115746528e-22,1.4933326264692409e-22,1.1529270336770395e-22,1.5051438649235556e-23
428.0,1.9503489984448859e-22,1.4938887766024635e-22,1.1530452155803494e-22,1.5034024198189024e-23
429.0,1.9562580936103754e-22,1.4944449267356862e-22,1.1531633974836593e-22,1.5035727407972017e-23
430.0,1.9621671887758654e-22,1.5141187376984343e-22,1.1609286437187791e-22,1.5018312956925487e-23
431.0,1.9680762839413549e-22,1.5337925486611824e-22,1.1763409542857096e-22,1.5020016166708481e-23
432.0,1.782808770811588e-22,1.5725840204534565e-22,1.1917532648526398e-22,1.5021719376491472e-23
433.0,1.9798944742723346e-22,1.6304931530752563e-22,1.2090773415025227e-22,1.5004304925444942e-23
434.0,1.9858035694378246e-22,1.6884022856970561e-22,1.230224950318311e-22,1.4986890474398412e-23
435.0,2.1828892728985711e-22,1.7271937574893299e-22,1.2532843252170516e-22,1.4988593684181406e-23
436.0,2.1887983680640604e-22,1.8042205509406554e-22,1.2801672322816974e-22,1.49902968939644e-23
437.0,2.1947074632295506e-22,1.8812473443919806e-22,1.3089619054292954e-22,1.4992000103747396e-23
438.0,2.2006165583950399e-22,1.9773917986728314e-22,1.3358448124939411e-22,1.4993703313530387e-23
439.0,2.3977022618557867e-22,2.092653913783208e-22,1.3608159534756344e-22,1.4976288862483854e-23
440.0,2.5947879653165335e-22,2.1887983680640595e-22,1.3876988605402802e-22,1.4958874411437324e-23
441.0,2.7918736687772798e-22,2.3040604831744361e-22,1.414581767604926e-22,1.4979695282049845e-23
442.0,2.79778276394277e-22,2.4193225982848128e-22,1.4395529085866193e-22,1.4962280831003315e-23
443.0,2.8036918591082602e-22,2.5728200350542404e-22,1.4626122834853598e-22,1.4963984040786308e-23
444.0,3.0007775625690061e-22,2.7454351326531942e-22,1.4818481262181952e-22,1.4965687250569299e-23
445.0,3.1978632660297525e-22,2.918050230252148e-22,1.4953486707021732e-22,1.4948272799522769e-23
446.0,3.3949489694904993e-22,3.1097829886806275e-22,1.5088492151861511e-22,1.4949976009305763e-23
447.0,3.5920346729512461e-22,3.2823980862795813e-22,1.5204379935871762e-22,1.4951679219088757e-23
448.0,3.98029698470725e-22,3.5123661663671122e-22,1.5320267719882014e-22,1.4934264768042227e-23
449.0,3.9862060798727393e-22,3.7614519072841684e-22,1.5417037843062739e-22,1.4935967977825221e-23
450.0,4.3744683916287432e-22,4.010537648201225e-22,1.545645498375489e-22,1.4937671187608214e-23
451.0,4.7627307033847471e-22,4.2978587107773317e-22,1.5457636802787987e-22,1.4920256736561682e-23
452.0,4.959816406845493e-22,4.5851797733534407e-22,1.5477936282650611e-22,1.4902842285515152e-23
453.0,5.3480787186014969e-22,4.8916184967590735e-22,1.5479118101683708e-22,1.4904545495298145e-23
454.0,5.7363410303575008e-22,5.1789395593351825e-22,1.5480299920716805e-22,1.4868013383422089e-23
455.0,5.9334267338182466e-22,5.5044959435703419e-22,1.5519717061408956e-22,1.4869716593205083e-23
456.0,6.3216890455742487e-22,5.8682876494645509e-22,1.5501781219612526e-22,1.4871419802988076e-23
457.0,6.9011279656255106e-22,6.2129616945292371e-22,1.5483845377816098e-22,1.487312301277107e-23
458.0,7.2893902773815145e-22,6.5385180787643965e-22,1.5465909536019672e-22,1.485570856172454e-23
459.0,7.8688291974327745e-22,6.8449568021700293e-22,1.5447973694223246e-22,1.4857411771507534e-23
460.0,8.2570915091887785e-22,7.1705131864051888e-22,1.5430037852426819e-22,1.4839997320461001e-23
461.0,8.4541772126495253e-22,7.5343048922993997e-22,1.5450337332289442e-22,1.4841700530243995e-23
462.0,8.8424395244055282e-22,7.8598612765345592e-22,1.5451519151322537e-22,1.4843403740026989e-23
463.0,9.4218784444567902e-22,8.1854176607697177e-22,1.5433583309526109e-22,1.4825989288980459e-23
464.0,1.0001317364508048e-21,8.5300917058344029e-22,1.5415647467729683e-22,1.4827692498763452e-23
465.0,1.0389579676264053e-21,8.8556480900695623e-22,1.5416829286762783e-22,1.4829395708546446e-23
466.0,1.0969018596315311e-21,9.1812044743047218e-22,1.5437128766625404e-22,1.483109891832944e-23
467.0,1.1357280908071316e-21,9.525878519369406e-22,1.5457428246488028e-22,1.4832802128112434e-23
468.0,1.1745543219827321e-21,9.8705525644340903e-22,1.5458610065521127e-22,1.4834505337895427e-23
469.0,1.2324982139878581e-21,1.025346193115783e-21,1.5421556562895172e-22,1.4836208547678421e-23
470.0,1.3095597668225098e-21,1.0617253637052041e-21,1.5403620721098747e-22,1.4837911757461415e-23
471.0,1.3866213196571613e-21,1.098104534294625e-21,1.5385684879302319e-22,1.4839614967244411e-23
472.0,1.4445652116622874e-21,1.134483704884046e-21,1.5405984359164943e-22,1.4841318177027405e-23
473.0,1.5025091036674137e-21,1.1746864076393721e-21,1.5426283839027566e-22,1.4843021386810399e-23
474.0,1.5795706565020653e-21,1.2206244086435559e-21,1.5408347997231139e-22,1.4825606935763866e-23
475.0,1.6757498701662429e-21,1.2627388774818348e-21,1.5390412155434708e-22,1.4808192484717336e-23
476.0,1.7910467446599456e-21,1.3067651124030662e-21,1.5353358652808758e-22,1.480989569450033e-23
477.0,1.9063436191536488e-21,1.3469678151583924e-21,1.5354540471841855e-22,1.4792481243453797e-23
478.0,2.0407581544768778e-21,1.3871705179137185e-21,1.5374839951704479e-22,1.4794184453236794e-23
479.0,2.1560550289705813e-21,1.4292849867519972e-21,1.5376021770737575e-22,1.4815005323849314e-23
480.0,2.2904695642938099e-21,1.4656641573414185e-21,1.5377203589770672e-22,1.4797590872802781e-23
481.0,2.4440017604465645e-21,1.5001315618478871e-21,1.5359267747974244e-22,1.4780176421756248e-23
482.0,2.6166516174288446e-21,1.5288636681054977e-21,1.5322214245348294e-22,1.4762761970709718e-23
483.0,2.7893014744111246e-21,1.5537722421972035e-21,1.5323396064381391e-22,1.4764465180492712e-23
484.0,2.9619513313934051e-21,1.5748572841230039e-21,1.532457788341449e-22,1.4785286051105232e-23
485.0,3.1346011883756848e-21,1.5940305599658517e-21,1.5344877363277112e-22,1.47678716000587e-23
486.0,3.3072510453579648e-21,1.607468537559842e-21,1.5346059182310211e-22,1.4769574809841693e-23
487.0,3.4799009023402457e-21,1.6189947490708795e-21,1.5309005679684256e-22,1.4752160358795163e-23
488.0,3.6907860809815764e-21,1.6286091944989648e-21,1.529106983788783e-22,1.4753863568578157e-23
489.0,3.9016712596229079e-21,1.6344001077611448e-21,1.5292251656920929e-22,1.4755566778361151e-23
490.0,4.0743211166051883e-21,1.6382792549403721e-21,1.5312551136783551e-22,1.4757269988144145e-23
491.0,4.2469709735874688e-21,1.6421584021195997e-21,1.5313732955816648e-22,1.4758973197927138e-23
492.0,4.4005031697402229e-21,1.6441257832158742e-21,1.529579711402022e-22,1.4741558746880605e-23
493.0,4.5731530267225041e-21,1.6480049303951018e-21,1.5258743611394269e-22,1.4724144295834076e-23
494.0,4.7266852228752583e-21,1.648060545408424e-21,1.5240807769597841e-22,1.4706729844787543e-23
495.0,4.8802174190280132e-21,1.6481161604217461e-21,1.5241989588630938e-22,1.4708433054570539e-23
496.0,5.0146319543512404e-21,1.6481717754350687e-21,1.5262289068493562e-22,1.4710136264353533e-23
497.0,5.1108111680154195e-21,1.6482273904483908e-21,1.5263470887526659e-22,1.473095713496605e-23
498.0,5.2069903816795964e-21,1.648283005461713e-21,1.5264652706559756e-22,1.4713542683919521e-23
499.0,5.3222872561732995e-21,1.6483386204750353e-21,1.524671686476333e-22,1.4696128232872988e-23
500.0,5.4184664698374763e-21,1.6483942354883574e-21,1.5228781022966902e-22,1.4678713781826458e-23
501.0,5.514645683501654e-21,1.64844985050168e-21,1.5229962841999999e-22,1.4699534652438975e-23
502.0,5.6108248971658316e-21,1.6465936994320494e-21,1.5231144661033096e-22,1.4701237862221972e-23
503.0,5.6878864500004837e-21,1.6466493144453716e-21,1.525144414089572e-22,1.4702941072004966e-23
504.0,5.7649480028351357e-21,1.6467049294586941e-21,1.5233508299099292e-22,1.4723761942617483e-23
505.0,5.8611272164993119e-21,1.6467605444720163e-21,1.5215572457302866e-22,1.4687229830741426e-23
506.0,5.9955417518225413e-21,1.6468161594853384e-21,1.5197636615506438e-22,1.4669815379694897e-23
507.0,6.1490739479752954e-21,1.6449600084157083e-21,1.5198818434539535e-22,1.467151858947789e-23
508.0,6.3026061441280489e-21,1.6450156234290304e-21,1.5219117914402159e-22,1.4692339460090411e-23
509.0,6.4752560011103308e-21,1.6431594723594001e-21,1.5220299733435258e-22,1.4713160330702928e-23
510.0,6.6479058580926112e-21,1.6451268534556749e-21,1.520236389163883e-22,1.4695745879656398e-23
511.0,6.9161440192225193e-21,1.6451824684689972e-21,1.5184428049842405e-22,1.4678331428609865e-23
512.0,7.2034998411819521e-21,1.6452380834823196e-21,1.5166492208045974e-22,1.4660916977563335e-23
513.0,7.509973323970912e-21,1.6433819324126891e-21,1.5167674027079071e-22,1.4662620187346329e-23
514.0,7.8546821284189243e-21,1.6415257813430587e-21,1.516885584611217e-22,1.4664323397129323e-23
515.0,8.2185085936964622e-21,1.6396696302734286e-21,1.5170037665145267e-22,1.4666026606912316e-23
516.0,8.6014527198035242e-21,1.6397252452867509e-21,1.5171219484178364e-22,1.4648612155865784e-23
517.0,9.0226321675696386e-21,1.6436043924659782e-21,1.5153283642381938e-22,1.4631197704819254e-23
518.0,9.4820469369948042e-21,1.6417482413963479e-21,1.5116230139755986e-22,1.4613783253772724e-23
519.0,9.9414617064199682e-21,1.64180385640967e-21,1.513652961961861e-22,1.4615486463555718e-23
520.0,1.0400876475845134e-20,1.6380359392570874e-21,1.5156829099481231e-22,1.4636307334168238e-23
521.0,1.0822055923611248e-20,1.6380915542704096e-21,1.515801091851433e-22,1.4657128204780755e-23
522.0,1.1224117710547834e-20,1.6400589353666842e-21,1.5140075076717902e-22,1.4658831414563749e-23
523.0,1.1645297158313949e-20,1.6420263164629592e-21,1.5141256895751002e-22,1.4622299302687692e-23
524.0,1.208559426690959e-20,1.6459054636421865e-21,1.5123321053954574e-22,1.460488485164116e-23
525.0,1.2468538393016655e-20,1.6440493125725563e-21,1.512450287298767e-22,1.462570572225368e-23
526.0,1.279412953663514e-20,1.6402813954199733e-21,1.5163920013679819e-22,1.4665644253695727e-23
527.0,1.3081485358594575e-20,1.638425244350343e-21,1.5145984171883391e-22,1.466734746347872e-23
528.0,1.3311488198065431e-20,1.6384808593636655e-21,1.5128048330086963e-22,1.4649933012432188e-23
529.0,1.3465020394218185e-20,1.6385364743769877e-21,1.5129230149120062e-22,1.4632518561385658e-23
530.0,1.3675905572859516e-20,1.6405038554732623e-21,1.5130411968153162e-22,1.4653339431998178e-23
531.0,1.3925026073159898e-20,1.6424712365695373e-21,1.5131593787186258e-22,1.4655042641781172e-23
532.0,1.4002087625994548e-20,1.6425268515828595e-21,1.5113657945389828e-22,1.4637628190734642e-23
533.0,1.4021796196340624e-20,1.6425824665961818e-21,1.5114839764422927e-22,1.4639331400517633e-23
534.0,1.4003269445027648e-20,1.6426380816095039e-21,1.5154256905115078e-22,1.4641034610300626e-23
535.0,1.3908272050396571e-20,1.6407819305398736e-21,1.5155438724148175e-22,1.4642737820083623e-23
536.0,1.3717686351617861e-20,1.6389257794702435e-21,1.5156620543181274e-22,1.4663558690696143e-23
537.0,1.3469747670350578e-20,1.6370696284006131e-21,1.5119567040555319e-22,1.4665261900479137e-23
538.0,1.3145338345765189e-20,1.6390370094968878e-21,1.5120748859588418e-22,1.4647847449432607e-23
539.0,1.2801811360350275e-20,1.6410043905931628e-21,1.514104833945104e-22,1.4630432998386071e-23
540.0,1.2400931392446786e-20,1.6429717716894374e-21,1.5161347819313664e-22,1.4632136208169068e-23
541.0,1.1923580781225192e-20,1.6430273867027599e-21,1.518164729917629e-22,1.4672074739611112e-23
542.0,1.138887718751502e-20,1.6411712356331294e-21,1.5182829118209387e-22,1.4692895610223632e-23
543.0,1.0758585289657222e-20,1.6374033184805466e-21,1.5126657954753907e-22,1.4637245837518049e-23
544.0,1.0128293391799424e-20,1.6412824656597741e-21,1.5127839773787004e-22,1.4638949047301043e-23
545.0,9.5362368156006783e-21,1.6489851450049065e-21,1.518637457530868e-22,1.4678887578743087e-23
546.0,8.8485919352543021e-21,1.6547760582670865e-21,1.5244909376830358e-22,1.473794377101466e-23
547.0,8.1800647157374528e-21,1.6529199071974561e-21,1.5284326517522504e-22,1.4777882302456707e-23
548.0,7.473302174561551e-21,1.6548872882937309e-21,1.5285508336555603e-22,1.4798703173069224e-23
549.0,6.7856572942151748e-21,1.6568546693900059e-21,1.5286690155588703e-22,1.4800406382852221e-23
550.0,6.1553653963573766e-21,1.6588220504862808e-21,1.5287871974621797e-22,1.4782991931805688e-23
551.0,5.4677205160110003e-21,1.6588776654996029e-21,1.5289053793654896e-22,1.4784695141588682e-23
552.0,4.894781600641778e-21,1.6531979822640674e-21,1.5328470934347045e-22,1.4805516012201202e-23
553.0,4.3600780069316074e-21,1.6436947668626268e-21,1.5329652753380144e-22,1.4807219221984196e-23
554.0,3.8253744132214375e-21,1.6265444871293759e-21,1.5311716911583716e-22,1.4828040092596716e-23
555.0,3.3480238019998443e-21,1.5979236108984098e-21,1.5255545748128236e-22,1.4772390319891133e-23
556.0,2.8897908516077769e-21,1.5578321381697282e-21,1.5218492245502284e-22,1.4735858208015076e-23
557.0,2.5080285445338116e-21,1.5005347706944734e-21,1.5200556403705856e-22,1.4718443756968544e-23
558.0,2.1836192199484244e-21,1.4202962102237876e-21,1.518262056190943e-22,1.4681911645092487e-23
559.0,1.8783275561925619e-21,1.3247635210894816e-21,1.5183802380942527e-22,1.4683614854875481e-23
560.0,1.6112712140957518e-21,1.2120249372086022e-21,1.5146748878316574e-22,1.4666200403828948e-23
561.0,1.3824501936579924e-21,1.103109885493628e-21,1.5090577714861094e-22,1.4629668291952892e-23
562.0,1.1918644948792843e-21,9.9037130161274861e-22,1.5072641873064666e-22,1.4593136180076835e-23
563.0,1.0395141177596277e-21,8.7189741948301174e-22,1.5073823692097763e-22,1.4556604068200776e-23
564.0,9.0628140146949684e-22,7.6871766601689515e-22,1.5094123171960387e-22,1.4558307277983773e-23
