wavelength / nm,fluorescence / counts
471.36000000000001,192.833
471.49000000000001,197.583
471.62,215.583
471.75999999999999,222.583
471.88999999999999,213.083
472.01999999999998,210.583
472.16000000000003,212.333
472.29000000000002,209.333
472.42000000000002,210.583
472.56,204.833
472.69,197.833
472.81999999999999,195.083
472.95999999999998,182.583
473.08999999999997,186.333
473.22000000000003,207.583
473.36000000000001,219.583
473.49000000000001,217.833
473.62,216.083
473.75,224.333
473.88999999999999,227.083
474.01999999999998,228.083
474.14999999999998,218.583
474.29000000000002,203.333
474.42000000000002,202.083
474.55000000000001,189.333
474.69,181.583
474.81999999999999,197.333
474.94999999999999,184.333
475.08999999999997,165.083
475.22000000000003,152.583
475.35000000000002,139.333
475.48000000000002,170.333
475.62,204.333
475.75,221.333
475.88,223.583
476.01999999999998,209.333
476.14999999999998,204.333
476.27999999999997,211.833
476.42000000000002,221.333
476.55000000000001,201.333
476.68000000000001,166.583
476.81,163.583
476.94999999999999,180.333
477.07999999999998,184.583
477.20999999999998,192.583
477.35000000000002,184.833
477.48000000000002,171.083
477.61000000000001,184.083
477.74000000000001,188.583
477.88,193.833
478.00999999999999,209.333
478.13999999999999,208.083
478.26999999999998,188.833
478.41000000000003,183.583
478.54000000000002,183.583
478.67000000000002,177.833
478.80000000000001,181.083
478.94,160.833
479.06999999999999,130.833
479.19999999999999,139.583
479.32999999999998,164.833
479.47000000000003,165.833
479.60000000000002,164.583
479.73000000000002,154.083
479.86000000000001,138.833
480.0,162.333
480.13,190.333
480.25999999999999,198.333
480.38999999999999,189.833
480.52999999999997,182.833
480.66000000000003,180.583
480.79000000000002,169.583
480.92000000000002,161.583
481.06,150.333
481.19,146.833
481.31999999999999,162.083
481.44999999999999,168.833
481.58999999999997,181.833
481.72000000000003,185.833
481.85000000000002,180.083
481.98000000000002,212.833
482.11000000000001,225.333
482.25,208.833
482.38,207.833
482.50999999999999,218.333
482.63999999999999,236.083
482.77999999999997,244.833
482.91000000000003,264.58299999999997
483.04000000000002,289.08300000000003
483.17000000000002,279.33300000000003
483.30000000000001,263.33299999999997
483.44,258.33300000000003
483.56999999999999,273.58299999999997
483.69999999999999,320.08300000000003
483.82999999999998,338.08300000000008
483.95999999999998,340.08300000000003
484.10000000000002,354.08300000000008
484.23000000000002,357.33300000000008
484.36000000000001,368.33300000000008
484.49000000000001,380.83300000000008
484.62,378.58300000000008
484.75999999999999,363.58300000000008
484.88999999999999,378.83300000000008
