wavelength (nm),fluorescence (arb. units)
666.79,818.8330000000001
666.9,781.5830000000001
667.0,792.3329999999999
667.11,795.5830000000001
667.21,793.8330000000001
667.32,801.0830000000001
667.42,804.5830000000001
667.53,814.5830000000001
667.63,817.5830000000001
667.74,827.5830000000001
667.84,839.3330000000001
667.95,822.0830000000001
668.06,796.8330000000001
668.16,805.3330000000001
668.27,822.5830000000001
668.37,823.5830000000001
668.48,822.3330000000001
668.58,775.0830000000001
668.69,727.8330000000001
668.79,764.8329999999999
668.9,801.3330000000001
669.0,804.3330000000001
669.11,790.0830000000001
669.21,744.3330000000001
669.32,729.8329999999999
669.42,762.0829999999999
669.53,788.0830000000001
669.63,792.0830000000001
669.74,780.8330000000001
669.84,768.0830000000001
669.95,768.3329999999999
670.05,767.3330000000001
670.16,760.5830000000001
670.26,747.8329999999999
670.37,731.0829999999999
670.47,725.8329999999999
670.58,718.3329999999999
670.68,712.0829999999999
670.79,711.8329999999999
670.89,725.3329999999999
671.0,733.5829999999999
671.1,708.3330000000001
671.2,698.5829999999999
671.31,720.3329999999999
671.41,706.0829999999999
671.52,681.833
671.62,722.3329999999999
671.73,746.8330000000001
671.83,724.5829999999999
671.94,705.5829999999999
672.04,673.0829999999999
672.15,655.333
672.25,683.583
672.36,700.3329999999999
672.46,693.3329999999999
672.56,680.3329999999999
672.67,672.083
672.77,677.0829999999999
672.88,676.333
672.98,688.8329999999999
673.09,691.8329999999999
673.19,670.833
673.29,651.833
673.4,641.333
673.5,666.083
673.61,702.0829999999999
673.71,682.5829999999999
673.82,639.583
673.92,636.833
674.02,660.083
674.13,668.583
674.23,630.583
674.34,592.083
674.44,580.583
674.55,585.333
674.65,623.083
674.75,651.833
674.86,638.583
674.96,628.083
675.07,643.583
675.17,638.833
675.27,614.083
675.38,589.583
675.48,559.333
675.58,565.833
675.69,602.333
675.79,590.083
675.9,560.583
676.0,563.083
676.1,591.333
676.21,623.583
676.31,636.333
676.42,654.833
676.52,659.083
676.62,634.833
676.73,622.333
676.83,625.583
676.93,633.333
677.04,636.083
677.14,632.583
677.24,620.833
677.35,615.083
677.45,625.583
677.55,612.333
677.66,581.333
677.76,563.333
677.87,585.583
677.97,623.583
678.07,622.083
678.18,602.083
678.28,601.083
678.38,623.583
678.49,571.833
678.59,483.583
678.69,510.33299999999997
678.8,558.833
678.9,574.333
679.0,582.333
679.1,571.333
679.21,574.333
679.31,587.083
679.41,580.333
679.52,559.3330000000001
679.62,572.333
679.72,585.333
679.83,577.333
679.93,579.083
680.03,563.583
680.14,538.583
680.24,509.58299999999997
680.34,498.083
680.44,522.833
680.55,532.3330000000001
680.65,524.833
680.75,525.0830000000001
680.86,548.833
680.96,553.083
681.06,530.8330000000001
681.16,529.083
681.27,521.8330000000001
681.37,504.33299999999997
681.47,498.833
681.58,528.083
681.68,534.833
681.78,503.833
681.88,491.08299999999997
681.99,493.833
682.09,518.833
682.19,512.083
682.29,472.5830000000001
682.4,468.5830000000001
682.5,488.833
682.6,501.33299999999997
682.7,497.0830000000001
682.81,508.083
682.91,523.583
683.01,498.5830000000001
683.11,460.3330000000001
683.22,458.5830000000001
683.32,474.5830000000001
683.42,479.5830000000001
683.52,497.583
683.63,508.33299999999997
683.73,506.583
683.83,496.58299999999997
683.93,467.3330000000001
684.04,462.8330000000001
684.14,450.8330000000001
684.24,423.8330000000001
684.34,414.8330000000001
684.44,426.3330000000001
684.55,460.5830000000001
684.65,473.5830000000001
684.75,470.5830000000001
684.85,461.0830000000001
684.95,452.3330000000001
685.06,447.5830000000001
685.16,431.0830000000001
685.26,419.3330000000001
685.36,416.0830000000001
685.46,434.8330000000001
685.57,451.8330000000001
685.67,456.5830000000001
685.77,472.8330000000001
685.87,445.0830000000001
685.97,415.8330000000001
686.08,444.8330000000001
686.18,465.8330000000001
686.28,475.0830000000001
686.38,479.5830000000001
686.48,462.3330000000001
686.59,455.8330000000001
686.69,480.3330000000001
686.79,474.0830000000001
686.89,452.5830000000001
686.99,477.5830000000001
687.09,494.3330000000001
687.2,494.0830000000001
687.3,471.8330000000001
687.4,438.8330000000001
687.5,444.8330000000001
687.6,459.3330000000001
687.7,457.0830000000001
687.8,442.3330000000001
687.91,458.833
688.01,492.83299999999997
688.11,493.0830000000001
688.21,489.5830000000001
688.31,495.8330000000001
688.41,499.0830000000001
688.51,487.0830000000001
688.62,467.5830000000001
688.72,465.3330000000001
688.82,455.5830000000001
688.92,430.5830000000001
689.02,411.0830000000001
689.12,405.0830000000001
689.22,421.5830000000001
689.32,436.5830000000001
689.43,440.3330000000001
689.53,433.5830000000001
689.63,414.3330000000001
689.73,405.0830000000001
689.83,404.3330000000001
689.93,415.0830000000001
690.03,432.3330000000001
690.13,445.3330000000001
690.23,445.0830000000001
690.34,429.5830000000001
690.44,427.0830000000001
690.54,423.8330000000001
690.64,413.8330000000001
690.74,419.3330000000001
690.84,418.5830000000001
690.94,399.0830000000001
691.04,397.8330000000001
691.14,399.3330000000001
691.24,408.0830000000001
691.34,431.8330000000001
691.45,417.8330000000001
691.55,389.8330000000001
691.65,391.5830000000001
691.75,416.8330000000001
